DateTime,volume_IVV,volume_RSP,volume_SCHX,volume_SPY,volume_VOO,volume_VTI,volume_XLE,volume_XLI,volume_XLK
2019-02-05,4051261,1752650,1124281,79552774,3613583,2759102,7852677,9079115,12060664
2019-02-06,3962753,661459,996352,58347791,2052224,2945194,6803809,15557618,10189649
2019-02-07,6678041,1118169,1218967,95481961,3907773,5097572,14600475,15611371,14632128
2019-02-08,2909309,785931,764062,75788861,2512937,2105845,10634406,15977037,8488796
2019-02-11,2770345,457854,1895496,68021423,2986595,2337166,12497386,7909836,7434660
2019-02-12,4285413,1003621,946429,72270221,5980510,3312319,10677292,8909762,9709099
2019-02-13,2994362,804018,926859,65277204,3569322,2369412,13061653,8134248,9120886
2019-02-14,7159715,703765,942048,83234396,3247823,2731593,10213409,11703773,9742013
2019-02-15,4844237,742227,643412,97088659,2806559,2537630,10183838,9593226,7356002
2019-02-19,4588556,1337686,1109661,59120804,2509320,2469874,8721631,7994791,8319114
2019-02-20,5534256,700365,821335,76610767,2156348,2357401,9935693,8911369,9852085
2019-02-21,3118702,547503,629246,64214727,2020305,3685264,11866116,6782680,9754061
2019-02-22,4962953,729839,1021126,78114616,2119396,1838422,9948258,9816903,12246686
2019-02-25,4699300,696608,1213157,69030699,2941301,3919989,15904458,10108504,20170501
2019-02-26,4881387,701328,891835,56844101,4629597,2155194,10550682,11731052,14133959
2019-02-27,3283771,636108,864249,56921570,2136525,2046803,10294013,8033257,9777532
2019-02-28,4166078,1382989,959745,69268293,2207061,2275205,11249407,8531259,9438331
2019-03-01,4203983,911092,1316185,78880548,2867054,2985134,20327998,12786614,12334027
2019-03-04,4811792,1636765,1203475,106494637,3384212,3555436,19780305,19150433,15826472
2019-03-05,2502411,314161,2437468,59114559,2475939,2838008,15807549,13820552,8953880
2019-03-06,3411727,512189,1562564,75039771,2514851,2139572,22690923,18468355,13122115
2019-03-07,4553771,1083090,1302087,94885089,6441203,2851774,23446166,19104699,18498286
2019-03-08,5315808,1117478,1246535,85795799,4522303,2327960,15621533,14341278,12890714
2019-03-11,3843676,641809,1206954,65098897,1884219,1910401,13212089,15298295,14577194
2019-03-12,2089572,636863,893931,79667530,2272244,1966086,11013139,17995791,18050877
2019-03-13,2804810,724831,1008208,80639153,1974278,2013751,13206790,13387866,17833630
2019-03-14,2396395,326424,1040366,67518366,1557517,1493994,12320420,9636528,10656663
2019-03-15,3132437,491330,994003,81308979,3151255,2324306,12427359,24900046,21024520
2019-03-18,3786222,608842,849999,62199806,1830005,2489764,10067909,10313893,14837637
2019-03-19,5845617,734071,1032443,90268121,4061805,6104611,12525956,10778218,16153202
2019-03-20,4672069,1057337,930943,84609210,3415587,2900905,13662863,11259449,13704293
2019-03-21,3615191,722171,794723,79550375,2968299,2949723,17878046,10638633,27274148
2019-03-22,6540753,920116,1184836,122659286,4317418,5150985,19974975,18004399,26747361
2019-03-25,4726544,661652,1624555,85575197,2893593,3676498,12346537,12372760,21946894
2019-03-26,4222924,523828,1409860,68125920,3177622,2861396,11516543,10523982,13965286
2019-03-27,3437318,771167,1450937,72224722,2714361,3402785,9582647,10556131,15831176
2019-03-28,2380749,737126,785310,56238545,1716681,2654778,9149159,10030122,10539704
2019-03-29,4331266,782898,1104843,82186806,2831325,3614659,10037621,10138768,14347178
2019-04-01,4170709,1259559,1703251,77617945,3304080,3666802,12411747,15530976,12590504
2019-04-02,7162276,722409,1212613,40070351,1512626,4292798,11152432,10397617,11787177
2019-04-03,3438957,912049,1979173,68243202,1937471,2404449,11989787,12726012,13869223
2019-04-04,3422406,1785913,1010783,48997505,1738462,2248427,10504382,9236642,11503077
2019-04-05,3928527,851902,935057,58621729,1504961,1744467,17269238,7531373,6709785
2019-04-08,2492437,836027,1003866,53566335,1720280,2130517,10602138,8819137,7309911
2019-04-09,3990718,535540,1331145,66142316,2016861,2150772,14541926,9814477,13440126
2019-04-10,2879179,471402,578035,52601499,2990910,2019021,9375986,13974689,8617805
2019-04-11,2581449,462904,681765,55093100,1567704,1794589,10914234,9532153,7697338
2019-04-12,2516226,456717,558458,69727782,1903391,2612084,15426841,11175121,8555372
2019-04-15,3124788,423300,1128114,49596685,1584741,2083038,8300980,7368111,9910693
2019-04-16,3759112,544652,4152500,52153197,2448023,2953275,8130337,7101573,9609547
2019-04-17,4342988,463182,1115182,58268295,1872369,2983878,10934622,10363901,12247872
2019-04-18,4367515,529797,633197,68708513,2789064,2457090,9759653,13192661,11491949
2019-04-22,2879501,474549,1078058,40160140,1126745,2148667,14164657,6477790,8084368
2019-04-23,4574652,530168,1026293,52246633,2618323,2344183,10212221,13760481,16693005
2019-04-24,2568684,573663,781360,50392914,1393371,1924756,11019051,7718026,10938268
2019-04-25,1839123,564503,653260,57770862,1237409,2428605,12060913,12555935,11387585
2019-04-26,2160488,518894,904894,50916423,2172615,2184506,16838386,12262594,11050219
2019-04-29,2986573,365905,614517,57197747,1892536,2461877,12974541,8759251,10613331
2019-04-30,4549392,671808,716147,81111733,2024551,2224568,14327153,9546653,18842869
2019-05-01,2952102,866586,1485691,71671870,2669356,3761540,22155991,16918680,15446826
2019-05-02,3279870,600465,917143,65030170,3009045,2537824,28033012,16360969,24988752
2019-05-03,3160515,440898,1292284,56543653,1969316,2147145,19624559,12904073,13288420
2019-05-06,2792430,522557,910773,107198069,3966927,2635339,20344657,11928825,13022479
2019-05-07,5262951,1552551,1442046,144729908,4752538,4385772,15064718,18356220,20625711
2019-05-08,5810008,903700,1057585,91568287,2662696,2492088,9823707,16464956,13667465
2019-05-09,4281181,637263,1268913,103471104,3094808,2768002,14409544,14923662,19300910
2019-05-10,4329369,977695,1919736,112429293,3132036,3175474,13074954,17419836,19596295
2019-05-13,5831706,1197559,1628443,127290527,5548217,4242118,14070022,20011033,25461207
2019-05-14,3202835,827609,933282,77003230,4702647,3090493,9241956,11318011,18404280
2019-05-15,3135635,870952,856186,73956407,2444406,2072281,10092343,12289963,15048875
2019-05-16,3911224,700083,946762,76749643,3221513,2319528,9376619,7450005,15444976
2019-05-17,3833735,684788,691206,100353024,2719513,1923948,10555799,16305654,13543996
2019-05-20,2515977,410897,896485,62877610,2762623,1669331,8186324,11638491,14673932
2019-05-21,3634882,423039,597234,46847085,2760813,1438804,18380450,10612265,14841128
2019-05-22,3147661,651461,604593,49482472,3421502,1539829,9637121,9114746,11521081
2019-05-23,4419359,972942,1126291,98733847,3813201,2701356,23963613,16205768,16085696
2019-05-24,1809862,715467,700439,55268095,1833053,1381924,10153381,11127434,11750019
2019-05-28,2455572,552558,735214,70029356,2566079,3866068,12930642,11263080,25772770
2019-05-29,6641224,735159,1550933,104972927,4593562,2955070,16951585,14257069,14754806
2019-05-30,3840044,705319,1312028,62523780,2977192,2621700,15173861,10103505,11420530
2019-05-31,5428476,1224470,1115423,86862782,3698782,2836563,21898542,13718389,12039782
2019-06-03,5589736,1346032,4863828,96427952,3825614,4765473,18024661,17514954,19703698
2019-06-04,3598917,659489,1109094,77231889,3536293,2767665,14743427,16424739,15096174
2019-06-05,4674039,579349,1477812,71169717,2646522,5059723,15882054,12865641,14395841
2019-06-06,4294539,518449,936279,69430381,2277840,2795552,32393915,11387334,11922461
2019-06-07,3180251,663393,764134,74272199,1877426,1668251,15774071,9234296,11992069
2019-06-10,3862913,391813,890600,60799053,2846143,2260005,9837825,9513873,13463779
2019-06-11,2923455,436263,625275,58641325,1894531,1724530,9522629,11936562,11550125
2019-06-12,2310269,1950871,880270,47096312,1712276,1729920,13816452,5612474,7596943
2019-06-13,2304977,959749,767419,48945156,1813685,1726623,12191939,6987036,9867761
2019-06-14,2000184,308672,682456,52324716,1203356,1401000,7916416,5966596,8441689
2019-06-17,2511178,287787,1132814,39205709,1782613,2506104,8795248,7708766,9351130
2019-06-18,4622740,564842,997612,85434823,2340697,2261097,17222144,12506299,16181183
2019-06-19,7606221,610867,949638,78674377,1684486,4049930,8827665,11171676,12371290
